question,answer,topic,difficulty
What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled training data where the model learns to map inputs to known outputs. Unsupervised learning finds hidden patterns in unlabeled data without predefined answers.",Fundamentals,Easy
What is overfitting and how do you prevent it?,"Overfitting occurs when a model learns noise in training data and performs poorly on new data. Prevention methods: regularization (L1/L2), dropout, early stopping, cross-validation, more training data, and simpler models.",Model Evaluation,Medium
Explain the bias-variance tradeoff.,"Bias is error from wrong assumptions (underfitting); variance is sensitivity to small data fluctuations (overfitting). High bias = too simple model. High variance = too complex model. The goal is to find the sweet spot that minimizes total error.",Model Evaluation,Medium
What is gradient descent?,"An optimization algorithm that iteratively adjusts model parameters in the direction of steepest descent of the loss function. Variants include batch, stochastic (SGD), and mini-batch gradient descent.",Optimization,Medium
What is a confusion matrix?,"A table showing True Positives, True Negatives, False Positives, and False Negatives to evaluate classification model performance. Used to calculate precision, recall, F1-score, and accuracy.",Model Evaluation,Easy
What is regularization? Explain L1 vs L2.,"Regularization adds a penalty to the loss function to prevent overfitting. L1 (Lasso) adds the absolute value of weights — promotes sparsity. L2 (Ridge) adds squared weights — shrinks all weights. Elastic Net combines both.",Optimization,Medium
What is a neural network?,"A computational model inspired by the brain, consisting of layers of interconnected nodes (neurons). Each connection has a weight. Data flows forward through layers; errors are backpropagated to update weights.",Deep Learning,Easy
Explain backpropagation.,"An algorithm to compute gradients of the loss function with respect to each weight using the chain rule of calculus. It propagates error backward from the output layer to input layer, enabling gradient descent to update weights.",Deep Learning,Hard
What is cross-validation?,"A technique to assess model generalizability by splitting data into k folds, training on k-1 folds and validating on the remaining fold, repeated k times. k-Fold CV gives a more reliable performance estimate than a single train/test split.",Model Evaluation,Medium
What is a decision tree?,"A tree-like model that splits data into subsets based on feature values at each node, maximizing information gain or minimizing impurity (Gini/entropy). Leaves represent predicted classes or values.",Supervised Learning,Easy
What is Random Forest?,"An ensemble method that builds multiple decision trees on random subsets of data and features (bagging), then aggregates predictions by majority vote (classification) or average (regression). Reduces variance compared to a single tree.",Supervised Learning,Medium
What is SVM (Support Vector Machine)?,"A classifier that finds the optimal hyperplane maximizing the margin between classes. Points closest to the boundary are support vectors. The kernel trick maps data to higher dimensions to handle non-linear separation.",Supervised Learning,Hard
What is PCA (Principal Component Analysis)?,"A dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance in data. Projects data onto top-k components, preserving as much variance as possible while reducing features.",Unsupervised Learning,Medium
What is the difference between precision and recall?,"Precision = TP/(TP+FP): of all predicted positives, how many are truly positive. Recall = TP/(TP+FN): of all actual positives, how many were found. Trade-off: higher precision usually lowers recall and vice versa.",Model Evaluation,Medium
What is dropout in neural networks?,"A regularization technique where random neurons are deactivated during each training step with probability p. Prevents co-adaptation and reduces overfitting. At inference, all neurons are used but outputs are scaled.",Deep Learning,Medium
What is the vanishing gradient problem?,"In deep networks, gradients shrink exponentially as they backpropagate through many layers, making early layers learn very slowly. Solved by ReLU activations, batch normalization, residual connections (ResNets), and LSTM/GRU for sequences.",Deep Learning,Hard
What is transfer learning?,"Using a pre-trained model (trained on a large dataset) as a starting point for a new task. The model's learned representations are fine-tuned on new, often smaller, datasets. Common in NLP (BERT, GPT) and computer vision (ResNet, VGG).",Deep Learning,Medium
What is K-Means clustering?,"An unsupervised algorithm that partitions data into k clusters by iteratively assigning points to the nearest centroid and updating centroids as the mean of assigned points. Minimizes within-cluster variance.",Unsupervised Learning,Easy
What is the ROC-AUC score?,"ROC curve plots True Positive Rate vs False Positive Rate at different thresholds. AUC (Area Under Curve) measures overall classifier performance regardless of threshold. AUC=1 is perfect; AUC=0.5 is random.",Model Evaluation,Medium
What are transformers in deep learning?,"A neural network architecture based entirely on self-attention mechanisms (no recurrence/convolutions). Processes all tokens in parallel, captures long-range dependencies. Foundation of modern NLP models: BERT, GPT, T5.",Deep Learning,Hard
What is batch normalization?,"Normalizes activations of each layer across a mini-batch to have zero mean and unit variance. Reduces internal covariate shift, allows higher learning rates, acts as regularization, and speeds up training.",Deep Learning,Medium
What is the difference between bagging and boosting?,"Bagging (Bootstrap Aggregating) trains models in parallel on random subsets and aggregates; reduces variance (e.g., Random Forest). Boosting trains models sequentially, each correcting previous errors; reduces bias (e.g., XGBoost, AdaBoost).",Supervised Learning,Hard
What is feature engineering?,"The process of using domain knowledge to create, transform, or select input features to improve model performance. Includes encoding categoricals, scaling numerics, creating interaction features, and handling missing values.",Data Preprocessing,Medium
What is the curse of dimensionality?,"As features increase, data becomes sparse in high-dimensional space — distances become meaningless and models need exponentially more data. Addressed by dimensionality reduction (PCA, t-SNE), feature selection, and regularization.",Fundamentals,Hard
What is LSTM?,"Long Short-Term Memory is a type of recurrent neural network with gating mechanisms (input, forget, output gates) that control information flow. Solves the vanishing gradient problem for long sequences. Used in NLP, time series, and speech.",Deep Learning,Hard
